Cyclists Names,Trip Name,Tagline,No. of riders,Male / Female,Nationalities,Start,Finish,Duration (months),Ongoing,Cost per person (original currency),Cost per person (GBP£),Total distance (km),Total distance miles,"Average monthly distance (km, calculated)",Cost per km (calculated),Cost per month (calculated),Type of bike,Bicycle make/model,Gears,Handlebars,Brakes,Wheel size,Luggage,What footwear/pedals did you use?,Europe,Africa,Australasia,North America,South America,Asia,Parts of Asia,Round-the-world,Website,Route map,Kit list,Titles,Buy (UK),Buy (World)
Rob Lilwall,Cycling Home From Siberia,"North East Russia to London, via Australia: a long rite-of-passage style trip, which included -40 tundra, thick jungles, and war-torn passes",1,Male only,British,Sep-04,Oct-09,"5 yrs, 1 m",No,"£12,000","£12,000",50000,31069,820,£0.24,£197,Mountain bike,Specialized Rockhopper,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Mixture of straps and SPDs,Yes,No,Yes,No,No,Yes,"Middle East, Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China, Russia",No,roblilwall.com,,,Cycling Home From Siberia,Buy Now (UK),Buy Now (World)
Sebastien Gros,Un peu plus loin,From Europe to the Everest base camp via the Himalayas,1,Male only,Swiss,Jul-08,Nov-09,"1 yrs, 4 m",No,,,"22,000",13670,"1,375",,,Touring bike,Home made,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,www.un-peu-plus-loin.ch,,,,,
Julian Sayarer,This Is Not For Charity,World record. Faster and more expensive than it could've been. Amazing nonetheless.,1,Male only,British/Turkish,Jun-09,Dec-09,"0 yrs, 6 m",No,"£5,000","£5,000",30000,18641,"5,000",£0.17,£833,Touring bike,Tout Terrain,Internal (hub) gears,Butterfly,Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,Yes,"Central Asia, South East Asia, China, Russia",Yes,thisisnotforcharity.com,,,Life Cycles (coming soon),,
"Friedel Grant, Andrew Grant",World Bike Tour 2006-2009,"Around the world, through over 30 countries, and more than 48,000km in 3 years.",2,Male and female,Canadian,Sep-06,Dec-09,"3 yrs, 3 m",No,"$23,000","£13,998",48000,29826,"1,231",£0.29,£359,Touring bike,Robin Mather Custom Built,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,Yes,Yes,No,Yes,"Middle East, Central Asia, South East Asia",Yes,www.travellingtwo.com,,,Bike Touring Survival Guide,Buy Now (UK),Buy Now (World)
Mark Beaumont,The Man Who Cycled The Americas,"From Alaska to Tierra del Fuego, climbing Denali (Mount McKinley- 6,196m) and Aconcagua (6962m).",1,Male only,Scottish,May-09,Feb-10,"0 yrs, 9 m",No,,,21050,13080,"2,339",,,Touring bike,Koga Miyata Signature,Internal (hub) gears,Butterfly,Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,http://markbeaumontonline.com/,,,The Man Who Cycled the Americas,Buy Now (UK),Buy Now (World)
Nicolai Bangsgaard,Worldtravellers,Solo RTW. 62.180 km. 1.413 days. 53 countries. 6 continents.,1,Male only,Danish,Apr-06,Feb-10,"3 yrs, 10 m",No,18000,"£15,126",62180,38637,"1,352",£0.24,£329,Touring bike,Koga Miyata Worldtraveller,External gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,Yes,Yes,"Middle East, Central Asia, South East Asia, China",No,worldtravellers.dk,,,SOLO: 4 years around the world by bike (Danish only),Buy Now (UK),Buy Now (World)
"David Burns , Maghnus Collins",Bike Africa 2009,Cycling from Cape Town to Dublin. Our first taste of adventure.,2,Male only,Irish,May-09,Mar-10,"0 yrs, 10 m",No,7000,"£5,882",16500,10253,"1,650",£0.36,£588,Touring bike,thorn sherpa,External gears,Drop bars (racing style),Disc,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,Yes,Middle East,No,sand2snowadventures.com,,,,,
Richard Thomas/Jodine Thomas,,"Best part of a year off work, through Europe, around India and across Australia. Best experience to date.",2,Male and female,British,Aug-09,May-10,"0 yrs, 9 m",No,"£4,000","£4,000",12000,7456,"1,500",£0.33,£500,Touring adapted mtb,Marin bear valley/kona fire mountain,External gears,Butterfly,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,No,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,,,,,,
"David Cook, Luke Johnston, Matthew Gibson",10k 4 10k European cycling challenge,"10,000 miles around Europe",3,Male only,British,Feb-10,Jul-10,"0 yrs, 5 m",No,"£2,000","£2,000",16000,9942,"3,200",£0.13,£400,Touring bike,Specialized TriCross,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,No,,No,,,,,,
Adam Wolley,London to Cape Town for Malaria Consortium,Solo London to Cape Town ride in 7 months in aid of Malaria Consortium.,1,Male only,,Jan-10,Jul-10,"0 yrs, 6 m",No,"£4,500","£4,500",14329,8904,"2,047",£0.31,£643,Mountain bike,Specialized Crosstrail Pro,External gears,Straight (mountain bike style inc. those with bar ends),Disc,700c,Back rack,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,No,,No,adamwolley.co.uk,,,,,
Dorothee Fleck,first round the world trip,First round the world trip,1,Female only,German,Feb-08,Jul-10,"2 yrs, 5 m",No,Don't know,,61140,37991,"2,108",,,Touring bike,"Velotraum, customized bike",Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,No,Yes,Yes,"Central Asia, South East Asia, China, Russia",Yes,dorothee-fleck.com,,,,,
Vin Cox,Circumnavigation Guinness World Record 2010,"A ""true"" circumnavigation by Guinness World Record rules and a fantastic adventure.",1,Male only,British,Feb-10,Aug-10,"0 yrs, 6 m",No,"£8,000","£8,000","29,331",18226,"4,889",£0.27,"£1,333",Touring bike,Genesis Criox de fer,Internal (hub) gears,Drop bars (racing style),Disc,700c,Back rack,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,Yes,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,http://www.greatbikeride.com,,,,,
Ann Wilson,Through Europe and Beyond,An open-ended world tour from Calais in an easterly direction. Politics and visas defining the route and funds and inclination defining duration,1,Female only,British,Jul-09,Sep-10,"1 yrs, 2 m",No,"£17,000","£17,000",16720,10389,"1,194",£1.02,"£1,214",Mountain bike,Drag,External gears,Butterfly,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,Yes,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,www.crazyguyonabike.com/cumbriann,Map,Kit List,,,
Helen and Ed Watson,Cycle to China,UK to China wiggling via interesting roads.,2,Male and female,British,Jul-09,Sep-10,"1 yrs, 2 m",No,"£5,000","£5,000",15500,9631,"1,107",£0.32,£357,Touring bike,koga miyata world traveller,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,Yes,"Middle East, Central Asia, China",No,helenanded.blogspot.co.uk/,,,,,
Tom Allen,,Three and a half years of confusion ending in marriage.,1,Male only,British,Jun-07,Nov-10,"3 yrs, 5 m",No,Don't know,,20000,12427,488,,,Mountain bike,Kona Explosif custom build,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""","Back rack, Trailer, Bar bag","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,Yes,"Middle East, Central Asia, Russia, Mongolia",No,tomsbiketrip.com,,,Janapar,Buy Now (UK),Buy Now (World)
Simon,Vienna to India,"Cycling 10 Countries, finally cycling the length of India from the North to the Southern most point.",1,Male only,Austrian,May-10,Nov-10,"0 yrs, 6 m",No,,,12200,7581,"1,743",,,Touring bike,Thorn EXP,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",No,,,,,,
Tyson Schimschal,Spinning My Wheels in South America,"South America, south to north",1,Male only,Canadian,Nov-09,Nov-10,"1 yrs, 0 m",No,"$10,000","£6,086",16371,10172,"1,364",£0.37,£507,Touring bike,Marinoni Turismo,External gears,Drop bars (racing style),Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,Yes,No,,No,www.crazyguyonabike.com/Tyson2539,Map,Kit List,,,
Oli Broom,Cycling to the Ashes,A Cricketing Odyssey from London to Brisbane to watch the 2010-11 Ashes series,1,Male only,British,Oct-09,Nov-10,"1 yrs, 1 m",No,"$7,000","£4,260",23000,14292,"1,769",£0.19,£328,Touring bike,Santos Travelmaster,External gears,Butterfly,Rim,"26""","Front rack, Back rack, handlebar bag","sometimes trainers, sometimes flip-flops",Yes,Yes,Yes,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,olibroom.com,,,Cycling to the Ashes,Buy Now (UK),Buy Now (World)
Aidan Pedreschi,A bicycle trip around this small blue planet,"Uk to Thailand through the Middle East, Indian Sub Continent and South East Asia, across USA and down the Pacific Coast to Mexico.",1,Male only,Irish,Jul-08,Nov-10,"2 yrs, 4 m",No,,,"28,000",17398,"1,000",,,Touring bike,Thorn Exp,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,Yes,No,Yes,"Middle East, Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,https://www.crazyguyonabike.com/doc/?doc_id=3625,,,,,
Ollie Slee,Africa Cycle,"Maputo, Mozambique to Cornwall, UK",1,Male only,British,Jul-10,Dec-10,"0 yrs, 5 m",No,"£8,000","£8,000",12000,7456,"2,000",£0.67,"£1,333",Touring bike,Specialized,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,No,No,No,No,,No,supersizedadventure.com/,,,,,
Ian Ferguson,Long Road to Katmandu,"An unforgettable journey across Asia, detoured through China to re-discovering my grandfathers footsteps.",1,Male only,British,Apr-10,Jan-11,"0 yrs, 9 m",No,"£6,000","£6,000",14000,8699,"1,556",£0.43,£667,Touring bike,Thorn Nomad,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Central Asia, South East Asia, China",No,http://www.crazyguyonabike.com/doc/6396,,,,,
"Harry Kikstra, Ivana Coria","Worldonabike.com, Alaska - Argentina","Alaska - Patagonia in 2.5 years, through 23 countries including the Guyanas.",2,Male and female,"Dutch, Argentinian",Jul-08,Jan-11,"2 yrs, 6 m",No,,,26000,16156,839,,,Touring bike,Santos Travelmaster 2.6 Alu,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,worldonabike.com ,,,,,
Dave Briggs,Alaska to Argentina,"A cycling adventure that covered two continents, and climates ranging from frozen tundras to humid rain forests, and terrain which varied from salt pans to cactus strewn sands",1,Male only,British,Jul-09,Feb-11,"1 yrs, 7 m",No,"£7,500","£7,500",16000,9942,842,£0.47,£395,Touring bike,Dawes Sardar,External gears,Drop bars (racing style),Rim,"26""","Front rack, Trailer",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,http://www.davestravelpages.com,,,,,
"Nancy Sathre-Vogel, John Vogel, Davy Vogel, Daryl Vogel",PanAm 2008 - 2011,A world record family bike trip from Alaska to Argentina,4,Male and female,American,Jun-08,Mar-11,"2 yrs, 9 m",No,"$20,000","£12,172",29000,18020,879,£0.42,£369,Touring bike,One tandem and 2 single bikes (REI),External gears,"Butterfly on single bikes, drop on the tandem",Rim,"700c on singles, 26"" on tandem","Front rack, Back rack, Trailer","whatever for three of us, one used SPD",No,No,No,Yes,Yes,No,,No,familyonbikes.org,,,Changing Gears: A Family Odyssey to the End of the World,Buy Now (UK),Buy Now (World)
Helen Lloyd,Take On Africa,2 years cycling from home to Cape Town via West and Central Africa,1,Female only,British,Jul-09,Mar-11,"1 yrs, 8 m",No,,,25000,15534,"1,250",,,Touring bike,Thorn Raven Tour,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,No,,No,helenstakeon.com/take-on-africa/,Map,Kit List,Desert Snow - One Girl's Take On Africa By Bike,Buy Now (UK),Buy Now (World)
Harriet and Neil Pike,Andes by Bike,Cycling dirt roads in the Andes.,2,Male and female,British,Sep-09,Mar-11,"1 yrs, 6 m",No,"£6,000","£6,000",21000,13049,"1,167",£0.29,£333,Touring bike,Surly Long Haul Trucker,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,No,No,No,Yes,No,,No,pikesonbikes.com,,,,,
Leon McCarron,,"New York to Hong Kong by bike, learning how to use a video camera",1,Male only,Irish,Feb-10,Apr-11,"1 yrs, 2 m",No,"£3,000","£3,000",22500,13981,"1,607",£0.13,£214,Touring bike,Santos Travelmaster,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack, Trailer","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,Yes,No,Yes,"South East Asia, China",No,leonmccarron.com,Map,,Coming soon,,
Tyler Kellen & Tara Alan,Going Slowly,A circuitous adventure from Scotland to Southeast Asia.,2,Male and female,American,Apr-09,May-11,"2 yrs, 1 m",No,"$17,500","£10,651",41250,25632,"1,650",£0.26,£426,Touring bike,Surly Long Haul Truckers,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Pedals with baskets,Yes,Yes,No,No,No,Yes,"South East Asia, Russia",Yes,goingslowly.com,,,"Bike, Camp, Cook",Buy Now (UK),Buy Now (World)
"Max Goldzweig, Emily Conradi",Cycling to Africa,"Strasbourg, a France to Cape Town, South Africa, via the Middle East (just before the Arab Spring).",2,Male and female,British,Sep-10,May-11,"0 yrs, 8 m",No,7000,"£7,000",14000,8699,"1,556",£0.50,£778,Touring bike,Thorn raven nomad mk2,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,No,No,Yes,Middle East,No,Www.cyclingtoafrica.com,,Kit List,,,
Lionel Arnould,KebeKanal,Bicycle trip through North and Central America.,1,Male only,French,Aug-10,Jun-11,"0 yrs, 10 m",No,8000,"£8,000",20918,12998,"2,092",£0.38,£800,Mountain bike,Leaderfox Evolution 18'',External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,No,No,Yes,No,No,,No,http://kebekanal.odradek78.fr/,,,,,
"David Byrne, Julie Retka",reCycling the World,"I spent my teens Cycling the World solo; 33 years later I retired and reCycled the World (with my wife, Julie) north to south to north. (North America to South America, then South Africa to north Africa & Europe)",2,Male and female,American,Apr-09,Jul-11,"2 yrs, 3 m",No,"$80,000","£48,688","50,455",31351,"1,869",£0.96,"£1,803",Recumbent,Cruzbike Sofrider,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""",Bikebins,Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,Yes,Yes,No,,Yes,http://www.crazyguyonabike.com/dbyrne,Map,Kit List,,,
Ashley Hooper,Ashventures,"UK to Hong Kong through Middle East, Indian subcontinent and South East Asia",1,Male only,New Zealand,Jul-10,Aug-11,"1 yrs, 1 m",No,,,12000,7456,923,,,Road/racing bike,Trek 7.0FX (warranty replaced with 7.5FX after frame broke),External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Pedals with baskets/cages/straps,Yes,No,No,No,No,Yes,"Middle East, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China",No,http://travelpod.com/members/ashventures,,,,,
Sean Newall,The CommonwealthChallenge,An adventure around the Commonwealth,1,Male only,Scottish,Jul-10,Aug-11,"1 yrs, 1 m",No,"£8,000","£8,000",45800,28459,"3,523",£0.17,£615,Touring bike,Thorn Nomad Raven,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",half SPD half normal Pedal,Yes,Yes,Yes,Yes,No,Yes,"Central Asia, South East Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh), China, Russia",Yes,thecommonwealthchallenge.com,,,,,
"Lehel Benedek, El?d Keresszegi",Europe by bike,15 months around whole Europe.,2,Male only,Hungarian,May-10,Aug-11,"1 yrs, 3 m",No,1000,£840,33580,20866,"2,239",£0.03,£56,Touring bike,Magellan,External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,No,,No,www.ontheroad.blog.hu,,,,,
Bill,Asia 2011,A lazy year on a bike.,1,Male only,British,Feb-11,Sep-11,"0 yrs, 7 m",No,"£16,000","£16,000","12,000",7456,"1,500",£1.33,"£2,000",Touring bike,Thorn Nomad MK II,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""",Back rack,Shoes that attach to the pedals (e.g. SPD),No,No,Yes,No,No,Yes,South East Asia,No,http://www.year0.com.au/going_troppo/,,Kit List,,,
Tyson Schimschal,Spinning my Wheels in North America,"Cancun, Mexico to Inuvik, NWT.",1,Male only,Canadian,Jan-11,Sep-11,"0 yrs, 8 m",No,"$10,000","£6,086",14430,8966,"1,804",£0.42,£761,Touring bike,Marinoni Turismo,External gears,Drop bars (racing style),Disc,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,No,No,,No,www.crazyguyonabike.com/Tyson2539,,,,,
Bruce Gordon,GlobeBent2011,Guinness world record attempt. Fastest global circumnavigation by bicycle. Vancouver BC Canada- New Zealand- Australia- Greece- Macedonia- Serbia- Croatia- Italy- Spain- Newfoundland- Florida-Texas- Moosejaw sask- Cedar City- Vancouver.,1,Male only,Canadian,Apr-11,Sep-11,"0 yrs, 5 m",No,17500,"£10,057",29000,18020,"4,833",£0.35,"£1,676",Recumbent,Bacchetta corsa,External gears,Butterfly,Rim,650,Saddle bags,Shoes that attach to the pedals (e.g. SPD),Yes,No,Yes,Yes,No,No,,Yes,globebent.blogspot.com,,,,,
Melissa Yule and Kate Harris,Cycling Silk,"Cycling Silk was a 10-month, 10-country, 10,000-kilometer biking expedition along the Silk Road between Europe and Asia.",2,Female only,Canadian,Jan-11,Oct-11,"0 yrs, 9 m",No,,,10000,6214,"1,111",,,Touring bike,"Seven Cycles, Expat S",External gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,No,No,Yes,"Central Asia, South East Asia, China, Turkey, Georgia, Azerbaijan",No,cyclingsilk.com,,,,,
Kyle Archer,Bikevoyage,Worked around the world by cycling between employment opportunities,1,Male only,Australian,Jun-06,Oct-11,"5 yrs, 4 m",No,"$13,000","£7,912",15000,9321,234,£0.53,£124,Touring bike,Thorn Nomad S+S,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,Yes,Yes,Yes,"Middle East, Central Asia, Indian Subcontinent (e.g. India, Pakistan, Bangladesh)",Yes,www.bikevoyage.blogspot.com,,,,,
Abi wingate,CycleInstead,Encouraging awareness of suicide prevention through an epic bike tour from Chiang Mai to Edinburgh.,1,Female only,Scottish,Apr-11,Oct-11,"0 yrs, 6 m",No,3000,"£3,000",11200,6959,"1,600",£0.27,£429,Touring bike,Surly Long Haul Trucker (Custom Build),External gears,Butterfly,Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Central Asia, South East Asia, China",No,cycleinstead.org,,,,,
"Adam Coppola, Christy Coppola",Give A Bike 50 State Tour,"12,591 mile Charity bike tour of all 50 United States in a single year.",2,Male and female,American,Jan-11,Nov-11,"0 yrs, 10 m",No,10000,"£6,086",20263,12591,"2,026",£0.30,£609,Touring bike,Cannondale touring 1,External gears,Drop bars (racing style),Rim,700c,"Front rack, Back rack",Started w pedals and cages and switched to SPD,No,No,No,Yes,No,No,,No,Giveabike.com,Map,,,,
"Alexandre Correia, Ana Batista",Browsing Europe,"Browsing around Europe, choosing the route day by day.",2,Male and female,Portuguese,Aug-10,Dec-11,"1 yrs, 4 m",No,3750,"£3,151",14463,8987,851,£0.22,£185,Mountain bike,Unknown,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,No,No,No,No,,No,http://nomadiclas.blogspot.pt/,,,,,
"Matt Cross, Debs Rawnsley","On the road with Toad, UK to Cape town 2010-2012","Two ordinary people, two bicycles and a Fuzzy Green Toad!",2,Male and female,British,Sep-10,Feb-12,"1 yrs, 5 m",No,"£8,000","£8,000",12950,8047,762,£0.62,£471,Touring bike,Thorn Nomad MK2,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,Yes,No,No,No,Yes,Middle East,No,ontheroadwithatoad.blogspot.co.uk,,,,,
Emma Philpott and Justin Hewitt,Rolling Tales,Cycling from London in a wiggly way towards New Zealand,2,Male and female,New Zealand,Mar-10,Feb-12,"1 yrs, 11 m",No,"£15,000","£15,000",23500,14602,"1,022",£0.64,£652,Touring bike,Thorn Sherpa,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Central Asia, South East Asia, China, Russia, Mongolia",No,rolling-tales.com,,,,,
Jamie King and Henry Brydon,The Blazing Saddles,Vagabonding from London to Sydney.,2,Male only,British,May-10,Mar-12,"1 yrs, 10 m",No,"£7,000","£7,000",35000,21748,"1,591",£0.20,£318,Mountain bike,genesis altitud. oo,External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""","Front rack, Back rack, Trailer","Other footwear, unattached to the pedals (e.g. trainers, boots)",Yes,No,Yes,No,No,Yes,"Middle East, Central Asia, South East Asia, China",No,theblazingsaddles.com,,,,,
Maarten Wagenmakers & Line van den Hout,Marcovelo | Op de fiets Marco Polo achterna / Cycling the Silk Road,Op de fiets Marco Polo achterna | Cycling the Silk Road,2,Male and female,Dutch,Apr-11,Mar-12,"0 yrs, 11 m",No,7500,"£6,303",18044,11212,"1,640",£0.35,£573,Touring bike,"Line: Santos Travelmaster 2.8 alu, Maarten: Idworx Easey Rohler",Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,700c,"Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,No,No,No,No,Yes,"Central Asia, South East Asia, China, Turkey, Iran",Yes,marcovelo.nl,,,,,
Rebecca Holliday & Ryan Davies,World Cycling Tour,England to New Zealand,2,Male and female,,Sep-10,Mar-12,"1 yrs, 6 m",No,"£6,000","£6,000",28050,17430,"1,476",£0.21,£316,Touring bike,VSF T400,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",,Yes,No,Yes,No,No,Yes,"Central Asia, South East Asia, China",No,worldcyclingtour.wordpress.com,Map,Kit List,The Road: England to New Zealand by Bicycle,Buy Now (UK),Buy Now (World)
"Sarah, Tom",Americas Trip,"Banff to Punta Arenas via the small ways - as much dirt road/track as possible, and keeping to the mountains whereever possible.",2,Male and female,"Australian, British",Aug-10,Apr-12,"1 yrs, 8 m",No,"$10,000","£5,464",28000,17398,"1,400",£0.20,£273,Mountain bike,"Surly Big Dummy, Charge Duster",External gears,Straight (mountain bike style inc. those with bar ends),Disc,"26""",Back rack,Shoes that attach to the pedals (e.g. SPD),No,No,No,Yes,Yes,No,,No,bicyclenomad.com,,,,,
Matthew Blake,Four years round the world,Four years on a bike.,1,Male only,British,Apr-08,Apr-12,"4 yrs, 0 m",No,"£14,000","£14,000",75000,46603,"1,596",£0.19,£298,Touring bike,Thorn Sherpa,External gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),Yes,Yes,No,Yes,Yes,Yes,"Central Asia, South East Asia, China, Caucasus",Yes,worldwidebikeride.com,Map,Kit List,I'll Be Home Just After Christmas,Buy Now (UK),Buy Now (World)
"Helen Lloyd, Lars Bengtsson",Take On The Americas,"From Vancouver to Cancun. Cycling Canada, USA and Central America",2,Male and female,"British, Swedish",Aug-11,May-12,"0 yrs, 9 m",No,,,11000,6835,"1,375",,,Touring bike,Thorn Raven Tour,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals (e.g. trainers, boots)",No,No,No,Yes,No,No,,No,helenstakeon.com/take-on-the-great-americas/journal/,,,,,
Lee Hughes,,UK to New Zealand - Just having fun,1,Female only,British,May-11,May-12,"1 yrs, 0 m",No,"£6,000","£6,000",13200,8202,"1,100",£0.45,£500,Touring bike,Santos Travelmaster,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack","Other footwear, unattached to the pedals",Yes,No,No,No,No,Yes,"Middle East, Central Asia, South East Asia, China",No,,,,,,
William Heimann,Last Continet,Wandering South America,1,Male only,American,Nov-11,May-12,"0 yrs, 6 m",No,"$3,000","£1,826",10460,6500,"1,494",£0.17,£261,Touring bike,Soma Saga,External gears,Drop bars (racing style),Rim,"26""","Front rack, Back rack",Shoes that attach to the pedals (e.g. SPD),No,No,No,No,Yes,No,,No,,,,,,
Peter Andrew Gostelow,Long Ride Home and The Big Africa Cycle,First person from my front door to Cape Town.,1,Male only,British,Aug-09,Jul-12,"2 yrs, 11 m",No,"£10,000","£10,000",34477,21423,985,£0.29,£286,Touring bike,Thorn,Internal (hub) gears,Butterfly,Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,Yes,Yes,No,No,No,No,,No,thebigafricacycle.com,,,,,
Ken McCallum,Better Life Cycle,"A cycle across Africa in aid of orphaned, abused and vulnerable children.",1,Male only,British,May-10,Jul-12,"2 yrs, 2 m",No,"£10,000","£10,000",18000,11185,692,£0.56,£385,Touring bike,Thorn Nomad MK II,Internal (hub) gears,Straight (mountain bike style inc. those with bar ends),Rim,"26""","Front rack, Back rack",Pedals with baskets/cages/straps,No,Yes,No,No,No,No,,No,kenmccallum.com,,,,,
